name,source,addr:city,addr:postcode,addr:street,phone,url,addr:housenumber,addr:state,website,operator,contact:phone,access,landuse,abandoned,note,email,golf:course,golf:par,sport,type,area_m2,lat,lon,province,gcid
Hawktree Golf Club,,,,Burnt Creek Loop,,,3400,,https://hawktree.com/,,,,,,,,,,,,1392823.4927902806,46.89866379385218,-100.844898537495,North Dakota,ND00110
Bully Pulpit Golf Course,,,,,,,,,,,,,,,,,,,,,1287295.3450153307,46.87459775050995,-103.53478603662224,North Dakota,ND00035
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,1118449.0727919599,47.24930858204049,-100.95111472265387,North Dakota,ND00119
The Links of North Dakota at Red Mike Resort,,,,,,,,,,,,,,,,,,,,,1061252.06780857,48.158816244822354,-103.04956369445175,North Dakota,ND00044
Minot Country Club,,,,Valley Bluffs Drive,,,1912,,https://minotcountryclub.com,,,,,,,,,,,,984266.2266962883,48.194801588978564,-101.26229191786064,North Dakota,ND00127
Riverwood Golf Course,,Bismarck,,Riverwood Drive,,,725,,https://www.bisparks.org/golf-courses/,Bismarck Parks & Recreation District,,,,,,,,,,,968430.9176855067,46.78933785554505,-100.8071452748526,North Dakota,ND00109
Oxbow Country Club,,,,,,,,,,,,,,,,,,,,multipolygon,956298.1667755262,46.666890848963256,-96.80670817872547,North Dakota,ND00005
Watford City Golf Course,Bing,,,,,,,,,,,,,,,,,,,,939341.843942968,47.80977664573939,-103.239877204409,North Dakota,ND00033
King's Walk,,Grand Forks,58201,South Columbia Road,+1 701-787-5464,,5301,,https://www.kingswalk.org/,,,,,,,,,,,,835072.3143780152,47.866469353813386,-97.05938280322512,North Dakota,ND00041
Grand Forks Country Club,,Grand Forks,58201,County Road 6,+1 701-772-4831,,794,,http://www.gfcountryclub.com/,,,,,,,,,,,,806080.0446110605,47.84915114118688,-97.00579177673774,North Dakota,ND00040
Crossroads Golf Course,,,,,,,,,,,,,,,,,,,,,778056.6733707321,47.47075025536369,-99.12402621708031,North Dakota,ND00013
Dakota Winds Golf Course,,,,,,http://dakotamagic.com/golf,,,,,,,,,,,,,,multipolygon,750191.5628746973,45.93919631805997,-96.82680985541906,North Dakota,ND00007
Maple River Golf Club,Bing,,,,,,,,,,,,,,,,,,,multipolygon,743124.8125598468,46.88076604804648,-97.0653562702929,North Dakota,ND00001
Crossroads Golf Course Glen Ullin ND,,,,,,,,,,,,,,,,,,,,,717620.9788001963,46.82262549595531,-101.83210309650991,North Dakota,ND00120
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,717608.5330874275,46.87208020976425,-98.64940700723203,North Dakota,ND00078
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,,716943.284218384,46.871594010874986,-102.98724130443848,North Dakota,ND00093
Unknown Golf Course,,,,,,,,,,,,,,,,,,,,multipolygon,711143.0244797072,48.41462604006839,-101.30737289275154,North Dakota,ND00003
Souris Valley Golf Course,bing,,,14th Street Southwest,,,2400,,https://minotparks.com/golf-courses/souris-valley-golf-course/,Minot Park District,,,,,,,,,,,708881.8209615129,48.22563319335268,-101.32790194638686,North Dakota,ND00034
Rose Creek Golf Course,,,,,,,,,,Fargo Park District,,,,,,,,,,,707271.4730188315,46.81088528967166,-96.81206081685602,North Dakota,ND00021
Eagle Ridge Golf Club,,Williston,58801,3rd Avenue East,+1 701-572-6500,,6401,,https://www.golfateagleridge.com/,,,,,,,,,,,,682202.0586903419,48.203436913706845,-103.6098109830547,North Dakota,ND00019
Eagle Ridge Golf Club,,Williston,58801,3rd Avenue East,+1 701-572-6500,,6401,,https://www.golfateagleridge.com/,,,,,,,,,,,,682202.0586903419,48.203436913706845,-103.6098109830547,North Dakota,ND00020
Apple Creek Country Club,,,,,,,,,,,,,,,,,,,,,669646.756950367,46.80553901016497,-100.64797434553057,North Dakota,ND00011
The Dak Club,,,,,,,,,,,,,,,,,,,,,651922.9290554682,47.19697125791997,-100.786471290361,North Dakota,ND00113
Hillcrest Municiple Golf Course,,,,,,,,,,,,,,,,,,,,,628607.0658296245,46.90419044207563,-98.67591460622884,North Dakota,ND00022
Fargo Country Club,Bing,Fargo,58103,26TH AVE S,,,509,ND,,,,,,,,,,,,,617748.5389513981,46.839352011776505,-96.78661186974064,North Dakota,ND00025
Prairie West Golf Course,,,,,,,,,,,,,,,,,,,,,585164.4747074592,46.80842471297389,-100.85163953649877,North Dakota,ND00009
Tom O'Leary Golf Course,,,,,,,,,,,,,,,,,,,,,576526.3633967697,46.81995823602041,-100.80113169132075,North Dakota,ND00012
