name,created_by,sport,addr:unit,opening_hours,phone,website,addr:street,addr:city,addr:housenumber,addr:postcode,addr:province,operator,source,layer,name:en,golf,surface,contact:website,addr:borough,alt_name,email,contact:city,contact:housenumber,contact:postcode,contact:province,contact:street,golf:course,name:fr,wikidata,access,contact:phone,attribution,building,canvec:CODE,canvec:UUID,abandoned,addr:suburb,internet_access,phone:mnemonic,wikipedia,landuse,note,opening_hours:signed,type,wheelchair,addr:source,disused,contact:facebook,addr:country,area_m2,lat,lon,province,gcid
Club de Golf Glendale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112540.080378663,45.644732847625804,-73.94663527399273,Quebec,QC00272
Club de Golf International 2000,,,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092712.668792752,45.012680380057105,-73.42170727701907,Quebec,QC00245
Golf Dorval,,,,,+1 514 6314653,http://www.golfdorval.com,,,,,,,,,,,,,,,info@golfdorval.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090418.7224114363,45.47169771412655,-73.7721204743249,Quebec,QC00094
Mont-Cascades,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020540.7394584693,45.61075358544706,-75.88536929406584,Quebec,QC00203
2454-2364 Bd Don-Quichotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,1008493.9369943439,45.36839008457212,-73.86365723056694,Quebec,QC00073
Club de Golf de Lanaudière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992152.073828122,45.801525164669705,-73.46339534284277,Quebec,QC00237
Club de golf La Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991606.869976035,45.606664831146,-73.12684147492553,Quebec,QC00119
Golf Granby St-Paul,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988059.2274300666,45.42984516080119,-72.79546835943782,Quebec,QC00146
Golf Granby St-Paul,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988059.2274300666,45.42984516080119,-72.79546835943782,Quebec,QC00145
Club de golf Verchères,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986559.2925955188,45.7149757554757,-73.3154822657814,Quebec,QC00124
Royal Ottawa Golf Club,,golf,,,,https://royalottawagolfclub.com/,Aylmer Road,Gatineau,1405,J9H 7L2,QC,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,Q7374659,,,,,,,,,,,,,,,,,,,,,983932.2248055652,45.4185669434324,-75.77021619128051,Quebec,QC00166
Club de Golf le Griffon des Sources,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980152.295505488,45.63425916902628,-74.23341826775824,Quebec,QC00175
Club De Golf De Berthier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958209.4615591684,46.04472712187192,-73.19158179221346,Quebec,QC00345
Club de golf Memphrémagog,,,,,,,Chemin Gendron,Magog,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948305.4795572202,45.17150697762589,-72.20892953808448,Quebec,QC00326
Le grand Portneuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947617.1493557934,46.78966577242763,-71.74267593072189,Quebec,QC00306
Le grand Portneuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947617.1493557934,46.78966577242763,-71.74267593072189,Quebec,QC00307
Club de Golf du Manoir Richelieu,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,914859.7490326467,47.616161591529114,-70.16070554434289,Quebec,QC00040
Club de golf Whitlock West,,golf,,,,,Côte Saint-Charles,Hudson,128,,QC,,,,Whitlock West Golf Club,,,,,,,,,,,,,Club de golf Whitlock West,,,,,,,,,,,,,,,,multipolygon,,,,,,914088.1559725887,45.45459899918053,-74.16539722200848,Quebec,QC00059
Club de golf Whitlock West,,golf,,,,,Côte Saint-Charles,Hudson,128,,QC,,,,Whitlock West Golf Club,,,,,,,,,,,,,Club de golf Whitlock West,,,,,,,,,,,,,,,,multipolygon,,,,,,914088.1559725887,45.45459899918053,-74.16539722200848,Quebec,QC00058
La Bête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902087.1283514976,46.14736725541112,-74.60553709663128,Quebec,QC00336
Club de Golf Stoneham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901448.7573651851,46.99129148532747,-71.37454527682127,Quebec,QC00113
Golf Domaine de Rouville,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900835.8537557172,45.511891981195895,-73.15363568371343,Quebec,QC00152
Auberge & Club de golf Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897944.5214442896,45.76370110224027,-74.97554621503974,Quebec,QC00354
Club de Golf Le Drummond,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889274.6362876754,45.95573691431572,-72.60700894789176,Quebec,QC00183
Club de Golf Montmagny,,,,,,,ch. du Golf,Montmagny,473,G5V3R9,Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,875808.623124434,46.96529177458668,-70.4973272593663,Quebec,QC00078
Dufferin Heights Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869104.0314405392,45.06977670474361,-72.06375029539242,Quebec,QC00107
Club de Golf Mirabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,861872.3230118756,45.71516991192611,-73.89973725449403,Quebec,QC00046
Club de Golf Milby,,golf,,,,,Chemin Bowers,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,859213.7374422533,45.323644312574494,-71.82070626320066,Quebec,QC00048
Golf Mont Ste-Marie,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846476.8288311372,45.94275748655123,-75.89154788390609,Quebec,QC00233
Club de golf Dorchester,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837515.8274988612,46.4888688742058,-70.8337465500418,Quebec,QC00201
Club de Golf Cowansville,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,814834.4150969605,45.221254225960195,-72.82196412707707,Quebec,QC00075
Golf Sainte-Marguerite,,golf,,,,,"Tue, Thom",Clarke City,1,,Québec,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807800.579963889,50.16966392436694,-66.61794840947631,Quebec,QC00143
Rue Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807740.6722189715,50.169663702187094,-66.61794836157844,Quebec,QC00396
Club de golf Lotbinière,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799173.8292819118,46.58679504269972,-71.36275088414887,Quebec,QC00211
Club de Golf Islesmere,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796565.0388832418,45.52898201852045,-73.8502404791111,Quebec,QC00127
Club de golf Mont-Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781395.1054810907,45.92293300141093,-74.16616785219182,Quebec,QC00321
Club de Golf Rosemère Fontainebleau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770212.4919573918,45.66258451725319,-73.81943851092687,Quebec,QC00095
UFO,,golf,,,,golfufo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766326.5579647361,45.549724421699985,-73.84729042274904,Quebec,QC00135
Golf Royal Laurentien,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,764447.0659459694,46.108265845338515,-74.40458044674439,Quebec,QC00032
Sherbrooke,,,,,,,Rue du Fer-Droit,,3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,760910.0348739683,45.44274607057665,-71.96661851006996,Quebec,QC00019
Club de Golf de Farnham,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759956.6739321494,45.25818048613769,-72.94961227041092,Quebec,QC00144
Club de golf de Plessiville,,golf,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755170.9262647841,46.26188496554206,-71.72397926107071,Quebec,QC00197
Club de Golf Le Diamant,,,,,,,montee Clément,Mirabel,10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750519.4531792391,45.65621048180183,-73.9963339599942,Quebec,QC00271
Club Sports Belvédère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,745116.8919559751,48.08762555664424,-77.79659524412433,Quebec,QC00086
Club de Golf Hautes Plaines,,,,,,,Avenue de la Citadelle,,75,J8Z 3L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inferred boundaries,,multipolygon,,,,,,741018.9905990398,45.47682728999596,-75.76070277669783,Quebec,QC00022
Le Grand Vallon,,golf,,,,https://legrandvallon.com,Rue Beaumont,Beaupré,100,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736770.8363260713,47.067849511007324,-70.91255765129264,Quebec,QC00225
The Kanawaki Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734820.2213482369,45.40072428409758,-73.66300416268894,Quebec,QC00129
Acton Vale,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733036.7339087726,45.650911916807516,-72.60285647152013,Quebec,QC00200
Ancien club de golf le Boisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727824.8459012648,45.71759226862758,-73.633301911714,Quebec,QC00108
Golf Château Bromont,,golf,,,,,,,,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716596.8872821559,45.30842561713837,-72.64227341207123,Quebec,QC00148
Club De Golf Val Des Lacs,,golf,,,,,,,,,,,NRCan-CanVec-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712939.1993089167,45.81415374947558,-73.94881619829617,Quebec,QC00280
Club de Golf Falcon,,,,,,,Rue de Cambridge,Hudson,59,,QC,,,,Falcon Golf Club,,,,,,,,,,,,,Club de Golf Falcon,,,,,,,,,,,,,,,,,,,,,,711308.1607101565,45.46117587557781,-74.17565429425532,Quebec,QC00318
Club de Golf Falcon,,,,,,,Rue de Cambridge,Hudson,59,,QC,,,,Falcon Golf Club,,,,,,,,,,,,,Club de Golf Falcon,,,,,,,,,,,,,,,,,,,,,,711308.1607101565,45.46117587557781,-74.17565429425532,Quebec,QC00319
Club de Golf Les Dunes,,,,,,,,,,,,,Yahoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711076.5311414526,45.99559963045339,-73.15330041688745,Quebec,QC00123
Golf & Hôtel Plaza Stastny,,golf,,,,https://www.hotelgolfstastny.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709964.7656587502,46.71871373994798,-71.31466266580033,Quebec,QC00292
Golf de la Faune,,golf,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705240.9318396264,46.87826910411556,-71.29922274447567,Quebec,QC00300
Golf de l'Île de Montréal - Parcours de l'Irlande,,,,,,,Rue Damien-Gauthier,Montréal,3700,,QC,Club de Golf de l'Île de Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705031.9102748674,45.69071489788139,-73.50721568828003,Quebec,QC00132
Club de Golf Royal-Estrie,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704383.3992228574,45.785096730453695,-71.93366897578352,Quebec,QC00178
Club de golf de Cap Rouge,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704216.9467794725,46.74319950424149,-71.3720051288934,Quebec,QC00210
Golf St-Césaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698967.1779714643,45.39146239256023,-73.04038689130928,Quebec,QC00356
Club de Golf Lac-St-Jean,,,,,+1 418 3458877,https://www.golflacstjean.qc.ca/,,,,,,,,,,,,,,,info@golflacstjean.qc.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698140.8890631417,48.552213378922985,-71.75987572678432,Quebec,QC00357
Golf Le Champêtre,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690703.3753756842,45.796344439642716,-73.85672550596934,Quebec,QC00303
Club de Golf de Lac-Etchemin,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690624.2960506001,46.4222810619053,-70.52280683321264,Quebec,QC00202
Golf Royal Charbourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689515.1431197969,46.927005634882065,-71.36428428024652,Quebec,QC00112
Golf de L'Auberivière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688276.4929994729,46.76392403870907,-71.18427254731571,Quebec,QC00393
Saguenay,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688243.8492907562,48.44851514208891,-71.17281972231588,Quebec,QC00240
Caughnawaga Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688229.6584563601,45.38554705728987,-73.66740845897263,Quebec,QC00131
Golf de l'Île de Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688086.540990508,45.682810239126404,-73.52190226807448,Quebec,QC00133
Golf Inverness,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668521.2772792428,45.25186044014083,-72.55801640566705,Quebec,QC00149
Club de Golf Capri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668078.5739976872,45.72686285779963,-74.14246172455886,Quebec,QC00098
Club de golf Lac Saint-Joseph,,,,,+1-866-799-2078,https://golflacst-joseph.com/,Route de Fossambault,,5292,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664145.830551662,46.85424857195708,-71.60980346961084,Quebec,QC00224
Club de Golf Triangle d'Or,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663349.1001567894,45.242578923452456,-73.59243682248184,Quebec,QC00250
Club de golf Fort Prével,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,662715.8217735009,48.695355624646055,-64.26605051033964,Quebec,QC00057
Club de Golf Champlain,,golf,,,,https://golfchamplain.com/,Aylmer Rd,Gatineau,1145,,Québec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,660431.0119435304,45.41558036736454,-75.78105594123379,Quebec,QC00116
Club De Golf Ki-8-Eb,,golf,,,,,Boulevard des Forges,Trois-Rivières,8200,,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660223.9564059174,46.38501154710222,-72.61962007205501,Quebec,QC00195
Club de Golf les Patriotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660033.3785900675,45.943326009493894,-73.13809311355821,Quebec,QC00365
Golf Le Memorial,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657297.1767284538,46.546563716770535,-72.70894531947822,Quebec,QC00206
Mount Bruno Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657092.4243564842,45.52990692235648,-73.31429094995637,Quebec,QC00096
Les Vieux-Moulins Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653108.4397365897,45.41852680404666,-75.86281582336686,Quebec,QC00167
Club de Golf Montpellier,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648858.421351707,45.86359497218538,-75.12030207819586,Quebec,QC00235
Club de golf Hériot,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,647852.8039540587,45.802569936063065,-72.4460162372433,Quebec,QC00047
Club de Golf le Victorien,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647691.164883291,45.64157776933797,-74.11796723148855,Quebec,QC00174
Club de golf Rivière-du-Loup,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641700.3835709427,47.80444180891818,-69.57734523403413,Quebec,QC00177
Club de Golf Saint-Laurent,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640796.8347044997,46.88582985508259,-70.9882576968348,Quebec,QC00222
Kingsway Golf and Country Club,,golf,,,,https://golfkingsway.ca/en/,Chemin de la Montagne,Québec,1461,,,,CanVec 6.0 - NRCan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640104.9099263232,45.47341104143162,-75.85987851685758,Quebec,QC00164
Club de golf Bonniebrook,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,638465.1282189067,45.7501662325169,-74.10322389466485,Quebec,QC00030
Golf des Îles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637932.8260916399,45.6033945030882,-73.47542383829197,Quebec,QC00362
Club De Golf ARCN Senneterre,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637381.8419151076,48.40053702574202,-77.26197081618157,Quebec,QC00299
Club de Golf Piedmont,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637000.5589029571,45.91610872286232,-74.1374544851407,Quebec,QC00285
Club de Golf Thetford,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634912.7204698037,46.094223178619345,-71.2813939898184,Quebec,QC00185
Club De Golf Royal Papineau,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631597.0345428528,45.83044610185778,-75.53678420133484,Quebec,QC00234
Club de golf l'Empress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,630842.1128187145,48.50155658201805,-68.43995969938699,Quebec,QC00077
Club de Golf Beauceville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627994.9843611033,46.26275934561235,-70.76192341615956,Quebec,QC00406
Club de Golf WindMill Heights,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623409.6868349847,45.35766382284156,-73.90352441919089,Quebec,QC00182
Club de golf Lorette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621335.2603279875,46.8595998346815,-71.3808271226443,Quebec,QC00106
Club de Golf St-Georges,,golf,,,,,,,,,,,NRCan-CanVec-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619915.6951375719,46.19279552466305,-70.61050735187774,Quebec,QC00187
