golf:course,name,operator,addr:city,addr:housenumber,addr:postcode,addr:street,historic,source,addr:province,website,addr:unit,check_date,opening_hours,phone,wheelchair,wheelchair:description,description,email,sport,old_name,fixme,canvec:UUID,note,wikidata,golf,landuse,ref,natural,attribution,canvec:CODE,name:en,golf:par,contact:facebook,wikipedia,contact:email,contact:instagram,contact:phone,contact:website,entrance,type,fax,payment:cash,payment:club_account,payment:maestro,payment:mastercard,payment:visa,payment:visa_debit,start_date,addr:housename,owner,contact:housenumber,contact:street,holes,designation,opendata:type,image,tents,surface,alt_name,layer,name:fr,contact:city,contact:postcode,contact:province,area_m2,lat,lon
,Legends of the Niagara,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874084.022605539,43.04473183530954,-79.03452225911956
,Legends of the Niagara,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874084.022605539,43.04473183530954,-79.03452225911956
,Deer Creek Golf Course,,,,,,,,,https://www.golfdeercreek.com/,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697911.1532859113,43.90948359156633,-79.02476616141318
,Cobble Beach Golf Resort,,Kemble,221,N0H 1S0,"McLeese Drive, S.S.#3",,,,,,,,,,,,,,,,,,Q117757194,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,2353302.672204621,44.67222528904342,-80.92600072976424
,TPC Toronto at Osprey Valley,,,,,,,Bing,,https://www.ospreyvalley.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,2339243.7172688344,43.84874312095176,-80.04385566138266
,Rattle Snake Point Golf & County Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309019.933503332,43.47830564244638,-79.81175195368877
,Cardinal Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271979.8451385763,44.04060082085341,-79.56846908325045
,Angus Glen Golf Club,,Markham,10080,L6C 1N9,Kennedy Road,,Bing,,https://angusglen.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,2265198.970893775,43.900733704150575,-79.32986680277612
,Spring Lakes Golf Club,,Whitchurch-Stouffville,4632,,Stouffville Road,,CanVec_Import_2009,,,,,,+1-905-640-3633,,,,,golf,,,,,,,,,,,1000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141157.254784396,43.9669555195297,-79.29238811067678
,The Club at Bond Head,Club Link,,4805,,7th Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,2134253.0217989013,44.08605515499635,-79.69635248734751
,Oviinbyrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890141.9743954798,45.11558390054642,-79.72308553536429
,Woodington Lake Golf Club,,,,,,,knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866669.5526505657,44.02323377931555,-79.83545344804256
,Kingsville Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804800.5606730753,42.04076590072271,-82.76928542853946
,Greensmere Golf & Country Club,,,1717,,Bearhill Road,,http://www.greensmere.com/,,,,,,,,,,,,,,,,,,,,,,,Greensmere Golf & Country Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Club de golf Greensmere,,,,1678827.8547458367,45.3015492311358,-76.08737817503312
,,,,,,,,,,,,,,,,,,,golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622628.801194853,42.953616112351945,-79.02572745091979
,Lionhead Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558812.1486702461,43.643367729880325,-79.7869649391897
,Hawk Ridge Golf & Country Club,,,,,,,,,https://www.hawkridgegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535056.2156126043,44.62975347804613,-79.44942086813568
,Hawk Ridge Golf & Country Club,,,,,,,,,https://www.hawkridgegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535056.2156126043,44.62975347804613,-79.44942086813568
,Hawk Ridge Golf & Country Club,,,,,,,,,https://www.hawkridgegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535056.2156126043,44.62975347804613,-79.44942086813568
,Hawk Ridge Golf & Country Club,,,,,,,,,https://www.hawkridgegolf.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535056.2156126043,44.62975347804613,-79.44942086813568
,GreyHawk Golf Club,,Carlsbad Springs,4999,,Boundary Road,,,,https://greyhawk.clublink.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500123.7053275935,45.357360533254344,-75.44222108129196
,Station Creek Golf Club,ClubLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452637.9798107615,43.95536820679141,-79.36926620738318
